building,MAE,RMSE,MASE,wQL,horizon
Bear_education_Chad,64.75345328525643,96.02577749645839,0.9192989190754095,0.031977266121778765,24
Bear_education_Lewis,1.4552107066544566,1.8858165803870783,0.5217979936495917,0.0433024035818386,24
Bull_office_Ella,53.13678890553889,242.45509282057682,1.0009517972653936,0.2977272677226196,24
Bull_office_Sally,122.120667989418,469.008605317173,1.6924413035181254,0.535149223897343,24
Fox_education_Charles,2.17755608974359,3.2615215578240466,0.8016630658220871,0.06789342405365406,24
Fox_education_Elvira,14.85473557692308,24.24794390734964,0.6541993870646313,0.048792483602847665,24
Fox_office_Joy,8.903717948717949,13.79836553169084,0.7247406654761458,0.02817291359482325,24
Fox_office_Vicki,8.915616987179488,14.554855801853527,0.8211893087633789,0.03524058394264154,24
Hog_parking_Antoinette,3.6451087996761076,5.012134279038551,1.1404504149639683,0.10570107626258433,24
Hog_services_Marshall,10.382837115072935,15.436491526755407,0.9981821935101262,0.07407342548931747,24
Rat_assembly_Kelley,1.175014957264957,1.8484597578183228,1.506271617486558,0.19910795413297627,24
Rat_assembly_Pauline,0.4886730717644179,0.9556229257908708,0.6462052469819242,0.19495722929530512,24
Rat_office_Adele,114.11554487179488,174.0617645691267,1.707611519084837,0.13346950172374436,24
Rat_office_Craig,32.34974919093851,46.46480820336402,1.2117136386445257,0.07485552823087326,24
Rat_office_Lora,63.45690705128205,110.54216198030707,0.9895480177074126,0.11498748033254774,24
Rat_office_Randy,5.4791346153846145,13.250109244866259,0.4286992047604027,0.046750407222494746,24
Rat_public_Julieann,0.7411959770671238,2.0936598006969094,0.678666791002546,0.08184852789060075,24
Bear_education_Chad,59.70104055631869,85.45839910196985,0.8472102254355751,0.028130589415147608,168
Bear_education_Lewis,2.5332782302348513,4.443965963150842,0.9376110537609575,0.05448902719666785,168
Bull_office_Ella,26.3357794982795,151.49924153091396,0.48969729738396345,0.16362142386748302,168
Bull_office_Sally,62.622874422204774,301.49518611917335,0.8579661630116212,0.28228646680115915,168
Fox_education_Charles,2.6797464896214898,4.235895548314448,0.9742141573275334,0.08109477794808681,168
Fox_education_Elvira,16.468031135531138,27.513276896298773,0.7322198213320178,0.046668728185068245,168
Fox_office_Joy,9.4153663003663,13.44730460322461,0.761060404182676,0.02690819172878942,168
Fox_office_Vicki,9.779711538461537,15.012770856496894,0.900462298223928,0.03317825266878624,168
Hog_parking_Antoinette,3.172007782421587,4.355519874291195,1.01021627601662,0.0867112468074217,168
Hog_services_Marshall,10.33335019589767,15.223588483635607,0.9847268103448104,0.06482299509813867,168
Rat_assembly_Kelley,1.1699855224140938,1.7501204240366612,1.528609839381787,0.1842364039505949,168
Rat_assembly_Pauline,0.5794885090296847,1.1174385691480733,0.7564240224406749,0.21104977741450684,168
Rat_office_Adele,115.51944482600733,189.80560449366288,1.7122933802616527,0.11930301597686835,168
Rat_office_Craig,30.700092505854798,44.75112876665716,1.1354720757598515,0.06646499643265523,168
Rat_office_Lora,94.16422413003663,156.95642025964352,1.49036043987568,0.11715847272996527,168
Rat_office_Randy,10.633311278998779,20.226121511657382,0.8244047017094119,0.05424040749835701,168
Rat_public_Julieann,0.732697958390367,2.0579245589842277,0.6614360832846048,0.08035719428697136,168
