h,Recursive,Direct
1,7.8630574315037,7.8630574315037
2,6.495835591717699,7.763157281500325
3,5.250676211379344,8.135389379708794
4,8.704869434362616,10.673181521803182
5,6.879043833553831,10.601002500473323
6,7.106115346873436,12.374786950563141
7,7.638941913157811,19.112902354592137
8,6.603606688235679,21.009466318331675
9,8.65683934921096,20.340784661091863
10,7.354107978213788,21.499058814935204
11,9.246815283679357,19.048492544466118
12,7.834927978669598,19.96136876010174
13,9.028181749385128,20.121008484607916
14,9.638328226556515,20.542840718801077
15,10.218814405388546,18.705903730568703
16,11.05875238868752,22.34574589753025
17,10.167343048541344,17.963080567235547
18,10.390543053733854,21.65621086009252
19,9.953213100334034,19.213832092890577
20,8.73587040116862,16.77117055048694
21,8.049702344046052,15.749072381831539
22,7.926500112163658,18.055809838811737
23,7.434228782957526,12.60877639299474
24,7.292491348870669,11.38019410768526
